,fips,province_state,country_region,confirmed,deaths,recovered,active,date,positive,negative,hospitalizedcurrently,hospitalized,hospitalizeddischarged
0,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-03-07,101327.0,305972.0,147.0,,
1,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-03-06,101327.0,305972.0,147.0,,
2,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-03-05,101066.0,305972.0,136.0,,
3,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-03-04,100867.0,305972.0,171.0,,
4,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-03-03,100765.0,305972.0,169.0,,
5,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-03-02,100735.0,305972.0,162.0,,
6,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-03-01,100584.0,305972.0,155.0,,
7,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-28,100297.0,305972.0,150.0,,
8,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-27,100044.0,305972.0,174.0,,
9,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-26,99860.0,305972.0,169.0,,
10,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-25,99619.0,305972.0,184.0,,
11,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-24,99519.0,305972.0,242.0,,
12,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-23,99476.0,305972.0,225.0,,
13,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-22,99257.0,305972.0,233.0,,
14,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-21,99084.0,305972.0,217.0,,
15,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-20,98835.0,305972.0,215.0,,
16,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-19,98624.0,305972.0,214.0,,
17,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-18,98506.0,305972.0,233.0,,
18,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-17,98428.0,305972.0,241.0,,
19,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-16,98317.0,305972.0,220.0,,
20,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-15,97837.0,305972.0,209.0,,
21,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-14,97609.0,305972.0,216.0,,
22,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-13,97313.0,305972.0,213.0,,
23,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-12,96924.0,305972.0,240.0,,
24,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-11,96636.0,305972.0,261.0,,
25,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-10,96494.0,305972.0,251.0,,
26,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-09,96402.0,305972.0,249.0,,
27,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-08,96161.0,305972.0,263.0,,
28,72.0,Puerto Rico,US,3.0,0.0,0.0,,2021-02-07,95839.0,305972.0,258.0,,
